fold,city,mse,r2,samples
1,咸宁市,0.7800142756775684,-0.043262997366257716,66
1,荆州市,0.24683583709326612,0.7495155990110647,168
1,黄冈市,0.12709386011885276,0.8802177782914031,335
2,咸宁市,0.42657684750267233,0.3345756740959507,269
2,随州市,0.15457027098576093,0.6071141473308028,300
3,仙桃市,0.24999071319772015,0.6647677299696386,199
3,恩施土家族苗族自治州,0.1560893303648631,0.3847045926006064,335
3,随州市,0.2826072003388261,0.7964350084512254,35
4,仙桃市,0.302979858976714,0.7791651910772555,136
4,天门市,0.10198874413980548,0.8372766450923705,98
4,潜江市,0.1153333536813652,0.8684789390746805,335
5,天门市,0.10392458326226967,0.8712731959343227,237
5,神农架林区,0.13776987506877011,0.4816111439868622,332
